PrimaryKey,DBKey,EcologicalSiteId,Latitude_NAD83,Longitude_NAD83,State,DateLoadedInDb,DateVisited,source,AH_AnnForbGrassCover,AH_AnnGrassCover,AH_ForbCover,AH_ForbGrassCover,AH_GrassCover,AH_PerenForbGrassCover,AH_PerenGrassCover,BareSoilCover,FH_AnnForbCover,FH_AnnGrassCover,FH_ForbCover,FH_GrassCover,FH_HerbLitterCover,FH_PerenGrassCover,FH_RockCover,FH_TotalLitterCover,TotalFoliarCover,GapCover_25_50,GapCover_51_100,GapCover_101_200,GapCover_200_plus,GapCover_25_plus,AH_PerenForbCover,AH_ShrubCover,FH_CyanobacteriaCover,FH_DepSoilCover,FH_DuffCover,FH_EmbLitterCover,FH_LichenCover,FH_MossCover,FH_VagrLichenCover,FH_WaterCover,FH_WoodyLitterCover,Hgt_Forb_Avg,Hgt_Grass_Avg,Hgt_Herbaceous_Avg,Hgt_PerenForb_Avg,Hgt_PerenForbGrass_Avg,Hgt_PerenGrass_Avg,Hgt_Woody_Avg,RH_AnnualProd,RH_BareGround,RH_BioticIntegrity,RH_CommentsBI,RH_CommentsHF,RH_CommentsSS,RH_Compaction,RH_DeadDyingPlantParts,RH_FuncSructGroup,RH_Gullies,RH_HydrologicFunction,RH_InvasivePlants,RH_LitterAmount,RH_LitterMovement,RH_PedestalsTerracettes,RH_PlantCommunityComp,RH_ReprodCapabilityPeren,RH_Rills,RH_SoilSiteStability,RH_SoilSurfLossDeg,RH_SoilSurfResisErosion,RH_WaterFlowPatterns,RH_WindScouredAreas,SoilStability_All,SoilStability_Protected,SoilStability_Unprotected,Latitude_NAD83_Actual,LocationStatus,LocationType,Longitude_NAD83_Actual,mlra_name,mlrarsym,modis_landcover,na_l1name,na_l2name,PercentCoveredByEcoSite,ProjectKey,us_l3name,us_l4name,AH_NACover,AH_PerenSucculentCover,AH_ShrubSucculentCover,AH_SucculentCover,FH_NonVegLitterCover,FH_PerenForbCover,FH_PerenSucculentCover,FH_SucculentCover,AH_PerenShrubCover,AH_PerenSubShrubCover,AH_PerenWoodyCover,AH_SubShrubCover,AH_WoodyCover,FH_NTCover,FH_PerenShrubCover,FH_PerenSubShrubCover,FH_ShrubCover,FH_SubShrubCover
15120315082630972018-04-11,CPERMWAC13Apr16to11Apr18DIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:20,4/11/2018,AIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972018-09-10,REPORT10Sep18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:20,9/10/2018,AIM,9.251471825,6.896551724,2.52312868,87.55256518,85.78637511,83.01093356,82.84272498,0.756938604,2.102607233,4.373423045,2.186711522,85.36585366,11.60639193,80.99243061,0,11.60639193,87.63666947,0,0,0,0,0,0.168208579,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0.084104289,0.084104289,0.084104289,0.084104289,0,0.084104289,0.084104289,0.084104289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972018-12-13,REPORT13Dec18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:20,12/13/2018,AIM,6.144781145,4.377104377,2.104377104,85.85858586,85.35353535,84.42760943,84.34343434,1.262626263,1.515151515,2.525252525,1.683501684,84.17508418,12.79461279,81.64983165,0.084175084,12.79461279,85.85858586,0,0.236666667,0,0,0.236666667,0.252525253,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0.168350168,0.168350168,0.168350168,0.168350168,0,0.168350168,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972016-04-14,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:21,4/14/2016,AIM,10.34482759,9.587888982,0.841042893,78.80571909,78.38519765,73.67535744,73.67535744,6.728343146,0.672834315,5.298570227,0.672834315,78.13288478,14.46593776,72.83431455,0,14.46593776,78.80571909,0.836666667,0.22,0.533333333,0,1.59,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972016-09-27,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:21,9/27/2016,AIM,14.28571429,12.28070175,2.339181287,86.96741855,85.88137009,76.77527151,76.60818713,2.589807853,2.005012531,11.02756892,2.08855472,84.79532164,10.27568922,73.76775272,0,10.27568922,87.13450292,0.09,0,0,0,0.09,0.167084378,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0.250626566,0.250626566,0.250626566,0.250626566,0,0.083542189,0.250626566,0.250626566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972017-04-06,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:21,4/6/2017,AIM,5.307497894,4.128053917,1.51642797,81.12889638,80.45492839,76.66385847,76.49536647,1.684919966,1.263689975,3.875315922,1.51642797,79.61246841,16.93344566,75.73715249,0,17.10193766,81.21314238,0.09,0.233333333,0,0,0.323333333,0.252737995,0,0,0,0,0.084245998,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0.252737995,0.252737995,0.252737995,0.252737995,0.084245998,0.252737995,0.084245998,0.084245998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972017-07-12,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:21,7/12/2017,AIM,12.20538721,8.67003367,4.797979798,88.04713805,86.36363636,81.64983165,81.48148148,1.851851852,3.282828283,7.239057239,3.451178451,84.5959596,9.848484848,77.35690236,0,9.848484848,88.13131313,0.213333333,0,0,0,0.213333333,0.589225589,0,0.168350168,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0.168350168,0.168350168,0.168350168,0.168350168,0,0.168350168,0.084175084,0.084175084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972017-11-03,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:21,11/3/2017,AIM,11.28896377,5.391743892,6.908171862,90.2274642,88.03706824,84.8357203,84.8357203,1.095197978,5.897219882,3.791069924,5.897219882,84.33024431,8.50884583,80.53917439,0,8.50884583,90.39595619,0,0,0,0,0,0.084245998,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0.336983993,0.336983993,0.336983993,0.336983993,0,0,0.168491997,0.168491997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972018-04-10,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:21,4/10/2018,AIM,7.821698907,4.541631623,3.868797309,85.19764508,83.85197645,80.65601346,80.3195963,2.102607233,3.027754415,3.616484441,3.195962994,82.00168209,12.53153911,78.38519765,0,12.53153911,85.36585366,0.3,0,0,0.906666667,1.206666667,0.420521447,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0.168208579,0.168208579,0.168208579,0.168208579,0,0.168208579,0.168208579,0.168208579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972019-05-15,REPORT15May19CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:21,5/15/2019,AIM,24.20435511,18.09045226,6.448911223,85.1758794,83.58458961,69.43048576,69.17922948,0.251256281,3.350083752,15.66164154,3.601340034,81.57453936,14.48911223,65.91289782,0,14.48911223,85.25963149,0,0,0,0,0,0.251256281,0,0,0,0,0,0,0,0,0,0,30,NA,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0.167504188,0.167504188,0.167504188,0.167504188,0,0.251256281,0.083752094,0.083752094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972019-08-21,REPORT21Aug19CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:21,8/21/2019,AIM,52.56087322,40.302267,14.7774979,90.34424853,85.39042821,55.49958018,55.24769102,0.587741394,12.42653233,36.60789253,12.51049538,77.83375315,9.068010076,41.22586062,0,9.068010076,90.34424853,0,0,0,0,0,0.335852225,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0.251889169,0.251889169,0.251889169,0.251889169,0,0.083963056,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15120315082630972018-06-26,REPORT26Jun18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,NA,8/11/2022 20:21,6/26/2018,AIM,22.4916388,21.32107023,1.755852843,94.89966555,94.39799331,84.86622074,84.61538462,1.254180602,1.003344482,13.5451505,1.337792642,93.56187291,3.595317726,80.01672241,0,3.595317726,94.98327759,0,0,0,0,0,0.418060201,0,0,0,0,0,0.16722408,0,0,0,0,37,NA,37,37,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_CPER,NA,NA,0.16722408,0.16722408,0.16722408,0.16722408,0,0.334448161,0.08361204,0.08361204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17062316455172542018-04-16,REPORT16Apr18ElRenoDIMA5.5aasof2020-06-26, UNKNOWN,35.555,-98.0391,NA,8/11/2022 20:30,4/16/2018,AIM,85.59393429,83.74052233,7.666385847,86.26790227,83.74052233,2.274641955,0,0.252737995,2.443133951,83.06655434,3.201347936,83.06655434,13.47935973,0,0,13.47935973,86.26790227,0.125,0,0,0,0.125,2.274641955,0,0,0,0,0,0,0,0,0,0,NA,12.66666667,12.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_ElReno,NA,NA,NA,NA,NA,NA,NA,0.758213985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17062316455172542018-07-17,REPORT17Jul18ElRenoDIMA5.5aasof2020-06-26, UNKNOWN,35.555,-98.0391,NA,8/11/2022 20:30,7/17/2018,AIM,84.90725126,76.81281619,30.43844857,98.73524452,93.84485666,74.28330523,68.38111298,0,12.56323777,62.64755481,15.2613828,83.47386172,1.264755481,20.82630691,0,1.264755481,98.73524452,0,0,0,0,0,12.39460371,0,0,0,0,0,0,0,0,0,0,43,40,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_ElReno,NA,NA,NA,NA,NA,NA,NA,2.698145025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17062316455172542017-06-19,REPORT19Jun17ElRenoDIMA5.5aasof2020-06-26, UNKNOWN,35.555,-98.0391,NA,8/11/2022 20:30,6/19/2017,AIM,74.00843882,73.08016878,13.16455696,79.32489451,75.78059072,17.97468354,7.932489451,3.713080169,1.265822785,71.98312236,4.219409283,75.10548523,16.96202532,3.122362869,0,16.96202532,79.32489451,1.95,1.15,1.263333333,4.733333333,9.096666667,10.46413502,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_ElReno,NA,NA,NA,NA,NA,NA,NA,2.953586498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15052012001494532015-12-04,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,NA,8/11/2022 20:42,12/4/2015,AIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_HAFB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15052012001494532015-08-07,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,NA,8/11/2022 20:42,8/7/2015,AIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_HAFB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15052012001494532015-09-02,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,NA,8/11/2022 20:42,9/2/2015,AIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWERN_HAFB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
